id_ponto,Data,Cliente,Fazenda,Talhão,Gleba,Lat,Long,Kg/Ha
28,05/05/2025,glauber,ribeirao,pivo,gener,-19.40008157787404,-47.39160942240864,3.426876
29,05/05/2025,glauber,ribeirao,pivo,gener,-19.39917864001906,-47.39159622130987,3.4005651
30,05/05/2025,glauber,ribeirao,pivo,gener,-19.398275702065842,-47.3915830209475,3.1772876
31,05/05/2025,glauber,ribeirao,pivo,gener,-19.397372764014396,-47.39156982132153,3.3021433
32,05/05/2025,glauber,ribeirao,pivo,gener,-19.396469825864713,-47.39155662243193,2.6696155
33,05/05/2025,glauber,ribeirao,pivo,gener,-19.395566887616805,-47.39154342427868,3.0139074
34,05/05/2025,glauber,ribeirao,pivo,gener,-19.394663949270676,-47.39153022686177,2.6707501
35,05/05/2025,glauber,ribeirao,pivo,gener,-19.404538233706543,-47.390706883860254,3.6376898
36,05/05/2025,glauber,ribeirao,pivo,gener,-19.403705854915167,-47.39071062778025,3.5352798
37,05/05/2025,glauber,ribeirao,pivo,gener,-19.402802916824854,-47.390697428977134,3.2171469
38,05/05/2025,glauber,ribeirao,pivo,gener,-19.401899978636294,-47.39068423091021,3.2274172
39,05/05/2025,glauber,ribeirao,pivo,gener,-19.400997040349488,-47.39067103357946,2.7102127
40,05/05/2025,glauber,ribeirao,pivo,gener,-19.400094101964445,-47.390657836984865,3.260716
41,05/05/2025,glauber,ribeirao,pivo,gener,-19.399191163481163,-47.39064464112641,3.2629714
42,05/05/2025,glauber,ribeirao,pivo,gener,-19.398288224899645,-47.390631446004065,3.6737077
43,05/05/2025,glauber,ribeirao,pivo,gener,-19.397385286219905,-47.39061825161782,3.2827146
44,05/05/2025,glauber,ribeirao,pivo,gener,-19.39648234744194,-47.39060505796767,2.2669878
45,05/05/2025,glauber,ribeirao,pivo,gener,-19.39557940856575,-47.39059186505357,2.10748
46,05/05/2025,glauber,ribeirao,pivo,gener,-19.39467646959135,-47.39057867287552,2.1879733
47,05/05/2025,glauber,ribeirao,pivo,gener,-19.393875078551837,-47.39053440070893,3.4812493
48,05/05/2025,glauber,ribeirao,pivo,gener,-19.404621315164476,-47.389772214953595,3.4391956
49,05/05/2025,glauber,ribeirao,pivo,gener,-19.403718376544322,-47.389759020656065,3.614413
50,05/05/2025,glauber,ribeirao,pivo,gener,-19.40281543782593,-47.38974582709445,3.231995
51,05/05/2025,glauber,ribeirao,pivo,gener,-19.40191249900929,-47.38973263426874,2.9384875
52,05/05/2025,glauber,ribeirao,pivo,gener,-19.401009560094412,-47.38971944217891,1.7593775
53,05/05/2025,glauber,ribeirao,pivo,gener,-19.40010662108131,-47.38970625082494,2.517362
54,05/05/2025,glauber,ribeirao,pivo,gener,-19.39920368196997,-47.38969306020683,4.179607
55,05/05/2025,glauber,ribeirao,pivo,gener,-19.398300742760405,-47.389679870324535,3.367133
56,05/05/2025,glauber,ribeirao,pivo,gener,-19.397397803452623,-47.38966668117804,2.3923192
57,05/05/2025,glauber,ribeirao,pivo,gener,-19.396494864046623,-47.389653492767344,2.1133473
58,05/05/2025,glauber,ribeirao,pivo,gener,-19.395591924542405,-47.38964030509241,2.8258624
59,05/05/2025,glauber,ribeirao,pivo,gener,-19.394688984939982,-47.38962711815324,2.6358113
60,05/05/2025,glauber,ribeirao,pivo,gener,-19.39378604523936,-47.389613931949796,3.346093
61,05/05/2025,glauber,ribeirao,pivo,gener,-19.404633832446912,-47.38882060185168,3.4305325
62,05/05/2025,glauber,ribeirao,pivo,gener,-19.40373089319892,-47.38880741279596,3.571324
63,05/05/2025,glauber,ribeirao,pivo,gener,-19.40282795385269,-47.38879422447587,3.1257045
64,05/05/2025,glauber,ribeirao,pivo,gener,-19.40192501440823,-47.388781036891395,2.6777275
65,05/05/2025,glauber,ribeirao,pivo,gener,-19.401022074865534,-47.3887678500425,2.7585468
66,05/05/2025,glauber,ribeirao,pivo,gener,-19.40011913522461,-47.38875466392919,3.899518
67,05/05/2025,glauber,ribeirao,pivo,gener,-19.39921619548547,-47.388741478551424,3.1966226
68,05/05/2025,glauber,ribeirao,pivo,gener,-19.3983132556481,-47.38872829390919,1.7142396
69,05/05/2025,glauber,ribeirao,pivo,gener,-19.397410315712523,-47.38871511000247,1.6359744
70,05/05/2025,glauber,ribeirao,pivo,gener,-19.39650737567874,-47.38870192683125,1.9223857
71,05/05/2025,glauber,ribeirao,pivo,gener,-19.39560443554674,-47.388688744395516,2.4239998
72,05/05/2025,glauber,ribeirao,pivo,gener,-19.394701495316546,-47.38867556269523,2.7354927
73,05/05/2025,glauber,ribeirao,pivo,gener,-19.39379855498816,-47.3886623817304,2.0525525
74,05/05/2025,glauber,ribeirao,pivo,gener,-19.40464634475453,-47.387868988014105,2.7349017
75,05/05/2025,glauber,ribeirao,pivo,gener,-19.40374340487894,-47.38785580420023,3.4893534
