Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.4009811,-47.38639646,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8687,10/10/2024,03/03/2025,870,3,3.8468568
-19.39881765,-47.38524953,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8688,10/10/2024,03/03/2025,870,3,3.846899
-19.40225165,-47.39279194,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8689,10/10/2024,03/03/2025,870,3,3.8469706
-19.40022373,-47.38905037,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8690,10/10/2024,03/03/2025,870,3,3.8472657
-19.40133868,-47.39354,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8691,10/10/2024,03/03/2025,870,3,3.8474774
-19.403843,-47.38853216,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8692,10/10/2024,03/03/2025,870,3,3.8477519
-19.40053732,-47.39267168,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8693,10/10/2024,03/03/2025,870,3,3.847907
-19.40419041,-47.38958421,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8694,10/10/2024,03/03/2025,870,3,3.8479457
-19.40225647,-47.38555846,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8695,10/10/2024,03/03/2025,870,3,3.847981
-19.39936977,-47.39217872,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8696,10/10/2024,03/03/2025,870,3,3.848563
-19.40234194,-47.39279326,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8697,10/10/2024,03/03/2025,870,3,3.848576
-19.3982349,-47.38454147,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8698,10/10/2024,03/03/2025,870,3,3.8486574
-19.39701586,-47.39262018,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8699,10/10/2024,03/03/2025,870,3,3.8498335
-19.40425189,-47.39177423,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8700,10/10/2024,03/03/2025,870,3,3.8498473
-19.39955264,-47.38513832,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8701,10/10/2024,03/03/2025,870,3,3.850167
-19.4022529,-47.39269678,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8702,10/10/2024,03/03/2025,870,3,3.8504965
-19.39848436,-47.39083331,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8703,10/10/2024,03/03/2025,870,3,3.8505895
-19.3970096,-47.39309596,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8704,10/10/2024,03/03/2025,870,3,3.850654
