Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.39658471,-47.38645917,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_193,10/10/2024,03/03/2025,870,3,1.2861083
-19.39823852,-47.3889262,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_194,10/10/2024,03/03/2025,870,3,1.3029357
-19.40157564,-47.38926047,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_195,10/10/2024,03/03/2025,870,3,1.3055704
-19.39649262,-47.38599334,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_196,10/10/2024,03/03/2025,870,3,1.3069915
-19.39584358,-47.38588311,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_197,10/10/2024,03/03/2025,870,3,1.313046
-19.39859969,-47.38893147,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_198,10/10/2024,03/03/2025,870,3,1.3144888
-19.39956138,-47.38447221,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_199,10/10/2024,03/03/2025,870,3,1.3185221
-19.40166468,-47.38935695,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_200,10/10/2024,03/03/2025,870,3,1.3188213
-19.39832881,-47.38892752,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_201,10/10/2024,03/03/2025,870,3,1.3251102
-19.39762022,-47.38787024,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_202,10/10/2024,03/03/2025,870,3,1.3294438
-19.39656923,-47.38582099,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_203,10/10/2024,03/03/2025,870,3,1.3341781
-19.40111916,-47.38963451,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_204,10/10/2024,03/03/2025,870,3,1.3377765
-19.39677109,-47.38581555,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_205,10/10/2024,03/03/2025,870,3,1.3383925
-19.39974572,-47.38418937,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_206,10/10/2024,03/03/2025,870,3,1.3388394
-19.39776191,-47.38336215,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_207,10/10/2024,03/03/2025,870,3,1.3405898
-19.40103262,-47.38934772,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_208,10/10/2024,03/03/2025,870,3,1.3433838
-19.40121697,-47.38906488,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_209,10/10/2024,03/03/2025,870,3,1.3435638
-19.3967048,-47.38641336,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_210,10/10/2024,03/03/2025,870,3,1.3456223
-19.39636738,-47.38582643,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_211,10/10/2024,03/03/2025,870,3,1.3489136
-19.4014866,-47.38916399,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_212,10/10/2024,03/03/2025,870,3,1.3503171
-19.3971365,-47.38589085,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_213,10/10/2024,03/03/2025,870,3,1.3520563
-19.39653093,-47.38590717,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_214,10/10/2024,03/03/2025,870,3,1.3549821
-19.39780538,-47.3834887,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_215,10/10/2024,03/03/2025,870,3,1.3578566
-19.40157063,-47.38964111,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_216,10/10/2024,03/03/2025,870,3,1.3583598
-19.39662302,-47.38637299,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_217,10/10/2024,03/03/2025,870,3,1.3626591
-19.39992381,-47.38438232,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_218,10/10/2024,03/03/2025,870,3,1.3632972
-19.39880029,-47.38741158,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_219,10/10/2024,03/03/2025,870,3,1.3697026
-19.39992506,-47.38428716,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_220,10/10/2024,03/03/2025,870,3,1.370432
-19.40076049,-47.38943892,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_221,10/10/2024,03/03/2025,870,3,1.3709482
-19.39641084,-47.38595297,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_222,10/10/2024,03/03/2025,870,3,1.3721805
-19.39965168,-47.38447353,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_223,10/10/2024,03/03/2025,870,3,1.3745726
-19.39657439,-47.38603372,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_224,10/10/2024,03/03/2025,870,3,1.3760308
-19.39592535,-47.38592348,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_225,10/10/2024,03/03/2025,870,3,1.3777801
-19.40129975,-47.38963715,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_226,10/10/2024,03/03/2025,870,3,1.3794203
-19.39983476,-47.38428584,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_227,10/10/2024,03/03/2025,870,3,1.3839543
-19.40130851,-47.38897103,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_228,10/10/2024,03/03/2025,870,3,1.383981
-19.39768013,-47.38332178,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_229,10/10/2024,03/03/2025,870,3,1.3841808
-19.39974322,-47.38437968,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_230,10/10/2024,03/03/2025,870,3,1.3863181
-19.40094233,-47.3893464,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_231,10/10/2024,03/03/2025,870,3,1.3878343
-19.396416,-47.3861657,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_232,10/10/2024,03/03/2025,870,3,1.3919044
-19.39965043,-47.38456868,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_233,10/10/2024,03/03/2025,870,3,1.395255
-19.40103387,-47.38925256,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_234,10/10/2024,03/03/2025,870,3,1.3968244
-19.3986197,-47.38740895,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_235,10/10/2024,03/03/2025,870,3,1.3995192
-19.40120946,-47.38963583,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_236,10/10/2024,03/03/2025,870,3,1.4054326
-19.39649778,-47.38620607,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_237,10/10/2024,03/03/2025,870,3,1.4166563
-19.39752992,-47.38786892,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_238,10/10/2024,03/03/2025,870,3,1.4179653
-19.3966127,-47.38594754,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_239,10/10/2024,03/03/2025,870,3,1.4192157
-19.40094358,-47.38925124,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_240,10/10/2024,03/03/2025,870,3,1.4202695
-19.40010565,-47.38428979,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_241,10/10/2024,03/03/2025,870,3,1.4216517
-19.39693464,-47.38589629,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_242,10/10/2024,03/03/2025,870,3,1.4216895
-19.39717997,-47.3860174,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_243,10/10/2024,03/03/2025,870,3,1.4240409
-19.3977236,-47.38344833,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_244,10/10/2024,03/03/2025,870,3,1.4256935
-19.40493403,-47.38797702,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_245,10/10/2024,03/03/2025,870,3,1.4273825
-19.39689117,-47.38576974,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_246,10/10/2024,03/03/2025,870,3,1.4292222
-19.39974447,-47.38428452,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_247,10/10/2024,03/03/2025,870,3,1.4318321
-19.3968094,-47.38572937,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_248,10/10/2024,03/03/2025,870,3,1.4320917
-19.39860094,-47.38883632,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_249,10/10/2024,03/03/2025,870,3,1.4340189
-19.39681456,-47.3859421,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_250,10/10/2024,03/03/2025,870,3,1.4349678
-19.40102887,-47.38963319,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_251,10/10/2024,03/03/2025,870,3,1.4353906
